Chapter,Country,Ratification,Treaty,Signature
Traffic in Persons,Algeria,31 Oct 1963 a,"International Convention for the Suppression of the Traffic in Women and Children, concluded at Geneva on 30 September 1921, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",
Traffic in Persons,Australia,,"International Convention for the Suppression of the Traffic in Women and Children, concluded at Geneva on 30 September 1921, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",13 Nov 1947
Traffic in Persons,Austria,,"International Convention for the Suppression of the Traffic in Women and Children, concluded at Geneva on 30 September 1921, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",7 Jun 1950
Traffic in Persons,Belgium,,"International Convention for the Suppression of the Traffic in Women and Children, concluded at Geneva on 30 September 1921, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",12 Nov 1947
Traffic in Persons,Brazil,,"International Convention for the Suppression of the Traffic in Women and Children, concluded at Geneva on 30 September 1921, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",6 Apr 1950
Traffic in Persons,Canada,,"International Convention for the Suppression of the Traffic in Women and Children, concluded at Geneva on 30 September 1921, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",24 Nov 1947
Traffic in Persons,China,,"International Convention for the Suppression of the Traffic in Women and Children, concluded at Geneva on 30 September 1921, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",12 Nov 1947
Traffic in Persons,Cuba,,"International Convention for the Suppression of the Traffic in Women and Children, concluded at Geneva on 30 September 1921, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",16 Mar 1981
Traffic in Persons,Czech Republic,,"International Convention for the Suppression of the Traffic in Women and Children, concluded at Geneva on 30 September 1921, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",30 Dec 1993
Traffic in Persons,Denmark,,"International Convention for the Suppression of the Traffic in Women and Children, concluded at Geneva on 30 September 1921, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",21 Nov 1949
Traffic in Persons,Egypt,,"International Convention for the Suppression of the Traffic in Women and Children, concluded at Geneva on 30 September 1921, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",12 Nov 1947
Traffic in Persons,Finland,,"International Convention for the Suppression of the Traffic in Women and Children, concluded at Geneva on 30 September 1921, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",6 Jan 1949
Traffic in Persons,Germany,,"International Convention for the Suppression of the Traffic in Women and Children, concluded at Geneva on 30 September 1921, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",29 May 1973
Traffic in Persons,Greece,,"International Convention for the Suppression of the Traffic in Women and Children, concluded at Geneva on 30 September 1921, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",5 Apr 1960
Traffic in Persons,Hungary,,"International Convention for the Suppression of the Traffic in Women and Children, concluded at Geneva on 30 September 1921, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",2 Feb 1950
Traffic in Persons,India,,"International Convention for the Suppression of the Traffic in Women and Children, concluded at Geneva on 30 September 1921, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",12 Nov 1947
Traffic in Persons,Ireland,,"International Convention for the Suppression of the Traffic in Women and Children, concluded at Geneva on 30 September 1921, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",19 Jul 1961
Traffic in Persons,Italy,,"International Convention for the Suppression of the Traffic in Women and Children, concluded at Geneva on 30 September 1921, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",5 Jan 1949
Traffic in Persons,Jamaica,,"International Convention for the Suppression of the Traffic in Women and Children, concluded at Geneva on 30 September 1921, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",16 Mar 1965
Traffic in Persons,Lebanon,,"International Convention for the Suppression of the Traffic in Women and Children, concluded at Geneva on 30 September 1921, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",12 Nov 1947
Traffic in Persons,Libya,17 Feb 1959 a,"International Convention for the Suppression of the Traffic in Women and Children, concluded at Geneva on 30 September 1921, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",
Traffic in Persons,Luxembourg,,"International Convention for the Suppression of the Traffic in Women and Children, concluded at Geneva on 30 September 1921, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",14 Mar 1955
Traffic in Persons,Madagascar,18 Feb 1963 a,"International Convention for the Suppression of the Traffic in Women and Children, concluded at Geneva on 30 September 1921, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",
Traffic in Persons,Malawi,25 Feb 1966 a,"International Convention for the Suppression of the Traffic in Women and Children, concluded at Geneva on 30 September 1921, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",
Traffic in Persons,Malta,,"International Convention for the Suppression of the Traffic in Women and Children, concluded at Geneva on 30 September 1921, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",27 Feb 1975
Traffic in Persons,Mexico,,"International Convention for the Suppression of the Traffic in Women and Children, concluded at Geneva on 30 September 1921, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",12 Nov 1947
Traffic in Persons,Montenegro,23 Oct 2006 d,"International Convention for the Suppression of the Traffic in Women and Children, concluded at Geneva on 30 September 1921, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",
Traffic in Persons,Myanmar,,"International Convention for the Suppression of the Traffic in Women and Children, concluded at Geneva on 30 September 1921, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",13 May 1949
Traffic in Persons,Netherlands,,"International Convention for the Suppression of the Traffic in Women and Children, concluded at Geneva on 30 September 1921, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",7 Mar 1949
Traffic in Persons,Nicaragua,,"International Convention for the Suppression of the Traffic in Women and Children, concluded at Geneva on 30 September 1921, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",24 Apr 1950
Traffic in Persons,Norway,,"International Convention for the Suppression of the Traffic in Women and Children, concluded at Geneva on 30 September 1921, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",28 Nov 1947
Traffic in Persons,Pakistan,,"International Convention for the Suppression of the Traffic in Women and Children, concluded at Geneva on 30 September 1921, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",12 Nov 1947
Traffic in Persons,Philippines,30 Sep 1954 a,"International Convention for the Suppression of the Traffic in Women and Children, concluded at Geneva on 30 September 1921, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",
Traffic in Persons,Poland,,"International Convention for the Suppression of the Traffic in Women and Children, concluded at Geneva on 30 September 1921, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",21 Dec 1950
Traffic in Persons,Romania,,"International Convention for the Suppression of the Traffic in Women and Children, concluded at Geneva on 30 September 1921, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",2 Nov 1950
Traffic in Persons,Russian Federation,,"International Convention for the Suppression of the Traffic in Women and Children, concluded at Geneva on 30 September 1921, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",18 Dec 1947
Traffic in Persons,Serbia,12 Mar 2001 d,"International Convention for the Suppression of the Traffic in Women and Children, concluded at Geneva on 30 September 1921, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",
Traffic in Persons,Sierra Leone,,"International Convention for the Suppression of the Traffic in Women and Children, concluded at Geneva on 30 September 1921, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",13 Aug 1962
Traffic in Persons,Singapore,,"International Convention for the Suppression of the Traffic in Women and Children, concluded at Geneva on 30 September 1921, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",26 Oct 1966
Traffic in Persons,Slovakia,,"International Convention for the Suppression of the Traffic in Women and Children, concluded at Geneva on 30 September 1921, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",28 May 1993
Traffic in Persons,South Africa,,"International Convention for the Suppression of the Traffic in Women and Children, concluded at Geneva on 30 September 1921, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",12 Nov 1947
Traffic in Persons,Sweden,,"International Convention for the Suppression of the Traffic in Women and Children, concluded at Geneva on 30 September 1921, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",9 Jun 1948
Traffic in Persons,Syrian Arab Republic,,"International Convention for the Suppression of the Traffic in Women and Children, concluded at Geneva on 30 September 1921, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",17 Nov 1947
Traffic in Persons,Turkey,,"International Convention for the Suppression of the Traffic in Women and Children, concluded at Geneva on 30 September 1921, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",12 Nov 1947
Traffic in Persons,Bahamas,10 Jun 1976 d,"International Convention for the Suppression of the Traffic in Women and Children.   Geneva, 30 September 1921",
Traffic in Persons,Belarus,21 May 1948 a,"International Convention for the Suppression of the Traffic in Women and Children.   Geneva, 30 September 1921",
Traffic in Persons,Cyprus,16 May 1963 d,"International Convention for the Suppression of the Traffic in Women and Children.   Geneva, 30 September 1921",
Traffic in Persons,Czech Republic,30 Dec 1993 d,"International Convention for the Suppression of the Traffic in Women and Children.   Geneva, 30 September 1921",
Traffic in Persons,Fiji,12 Jun 1972 d,"International Convention for the Suppression of the Traffic in Women and Children.   Geneva, 30 September 1921",
Traffic in Persons,Ghana,7 Apr 1958 d,"International Convention for the Suppression of the Traffic in Women and Children.   Geneva, 30 September 1921",
Traffic in Persons,Jamaica,30 Jul 1964 d,"International Convention for the Suppression of the Traffic in Women and Children.   Geneva, 30 September 1921",
Traffic in Persons,Malta,24 Mar 1967 d,"International Convention for the Suppression of the Traffic in Women and Children.   Geneva, 30 September 1921",
Traffic in Persons,Mauritius,18 Jul 1969 d,"International Convention for the Suppression of the Traffic in Women and Children.   Geneva, 30 September 1921",
Traffic in Persons,Pakistan,12 Nov 1947 d,"International Convention for the Suppression of the Traffic in Women and Children.   Geneva, 30 September 1921",
Traffic in Persons,Russian Federation,18 Dec 1947 a,"International Convention for the Suppression of the Traffic in Women and Children.   Geneva, 30 September 1921",
Traffic in Persons,Sierra Leone,13 Mar 1962 d,"International Convention for the Suppression of the Traffic in Women and Children.   Geneva, 30 September 1921",
Traffic in Persons,Singapore,7 Jun 1966 d,"International Convention for the Suppression of the Traffic in Women and Children.   Geneva, 30 September 1921",
Traffic in Persons,Slovakia,28 May 1993 d,"International Convention for the Suppression of the Traffic in Women and Children.   Geneva, 30 September 1921",
Traffic in Persons,The former Yugoslav Republic of Macedonia,18 Jan 1994 d,"International Convention for the Suppression of the Traffic in Women and Children.   Geneva, 30 September 1921",
Traffic in Persons,Trinidad and Tobago,11 Apr 1966 d,"International Convention for the Suppression of the Traffic in Women and Children.   Geneva, 30 September 1921",
Traffic in Persons,Zambia,26 Mar 1973 d,"International Convention for the Suppression of the Traffic in Women and Children.   Geneva, 30 September 1921",
Traffic in Persons,Zimbabwe,1 Dec 1998 d,"International Convention for the Suppression of the Traffic in Women and Children.   Geneva, 30 September 1921",
Traffic in Persons,Afghanistan,,"International Convention for the Suppression of the Traffic in Women of Full Age, concluded at Geneva on 11 October 1933, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",12 Nov 1947
Traffic in Persons,Algeria,31 Oct 1963 a,"International Convention for the Suppression of the Traffic in Women of Full Age, concluded at Geneva on 11 October 1933, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",
Traffic in Persons,Australia,,"International Convention for the Suppression of the Traffic in Women of Full Age, concluded at Geneva on 11 October 1933, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",13 Nov 1947
Traffic in Persons,Austria,,"International Convention for the Suppression of the Traffic in Women of Full Age, concluded at Geneva on 11 October 1933, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",7 Jun 1950
Traffic in Persons,Belgium,,"International Convention for the Suppression of the Traffic in Women of Full Age, concluded at Geneva on 11 October 1933, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",12 Nov 1947
Traffic in Persons,Brazil,,"International Convention for the Suppression of the Traffic in Women of Full Age, concluded at Geneva on 11 October 1933, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",6 Apr 1950
Traffic in Persons,Côte d'Ivoire,,"International Convention for the Suppression of the Traffic in Women of Full Age, concluded at Geneva on 11 October 1933, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",5 Nov 1962
Traffic in Persons,Cuba,,"International Convention for the Suppression of the Traffic in Women of Full Age, concluded at Geneva on 11 October 1933, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",16 Mar 1981
Traffic in Persons,Czech Republic,,"International Convention for the Suppression of the Traffic in Women of Full Age, concluded at Geneva on 11 October 1933, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",30 Dec 1993
Traffic in Persons,Finland,,"International Convention for the Suppression of the Traffic in Women of Full Age, concluded at Geneva on 11 October 1933, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",6 Jan 1949
Traffic in Persons,Greece,,"International Convention for the Suppression of the Traffic in Women of Full Age, concluded at Geneva on 11 October 1933, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",5 Apr 1960
Traffic in Persons,Hungary,,"International Convention for the Suppression of the Traffic in Women of Full Age, concluded at Geneva on 11 October 1933, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",2 Feb 1950
Traffic in Persons,Ireland,,"International Convention for the Suppression of the Traffic in Women of Full Age, concluded at Geneva on 11 October 1933, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",19 Jul 1961
Traffic in Persons,Libya,17 Feb 1959 a,"International Convention for the Suppression of the Traffic in Women of Full Age, concluded at Geneva on 11 October 1933, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",
Traffic in Persons,Luxembourg,14 Mar 1955 a,"International Convention for the Suppression of the Traffic in Women of Full Age, concluded at Geneva on 11 October 1933, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",
Traffic in Persons,Madagascar,12 Feb 1964 a,"International Convention for the Suppression of the Traffic in Women of Full Age, concluded at Geneva on 11 October 1933, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",
Traffic in Persons,Mali,2 Feb 1973 a,"International Convention for the Suppression of the Traffic in Women of Full Age, concluded at Geneva on 11 October 1933, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",
Traffic in Persons,Mexico,,"International Convention for the Suppression of the Traffic in Women of Full Age, concluded at Geneva on 11 October 1933, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",12 Nov 1947
Traffic in Persons,Netherlands,,"International Convention for the Suppression of the Traffic in Women of Full Age, concluded at Geneva on 11 October 1933, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",7 Mar 1949
Traffic in Persons,Nicaragua,,"International Convention for the Suppression of the Traffic in Women of Full Age, concluded at Geneva on 11 October 1933, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",24 Apr 1950
Traffic in Persons,Niger,,"International Convention for the Suppression of the Traffic in Women of Full Age, concluded at Geneva on 11 October 1933, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",7 Dec 1964
Traffic in Persons,Norway,,"International Convention for the Suppression of the Traffic in Women of Full Age, concluded at Geneva on 11 October 1933, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",28 Nov 1947
Traffic in Persons,Philippines,30 Sep 1954 a,"International Convention for the Suppression of the Traffic in Women of Full Age, concluded at Geneva on 11 October 1933, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",
Traffic in Persons,Poland,,"International Convention for the Suppression of the Traffic in Women of Full Age, concluded at Geneva on 11 October 1933, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",21 Dec 1950
Traffic in Persons,Romania,,"International Convention for the Suppression of the Traffic in Women of Full Age, concluded at Geneva on 11 October 1933, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",2 Nov 1950
Traffic in Persons,Russian Federation,,"International Convention for the Suppression of the Traffic in Women of Full Age, concluded at Geneva on 11 October 1933, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",18 Dec 1947
Traffic in Persons,Singapore,26 Oct 1966 a,"International Convention for the Suppression of the Traffic in Women of Full Age, concluded at Geneva on 11 October 1933, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",
Traffic in Persons,Slovakia,,"International Convention for the Suppression of the Traffic in Women of Full Age, concluded at Geneva on 11 October 1933, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",28 May 1993
Traffic in Persons,South Africa,,"International Convention for the Suppression of the Traffic in Women of Full Age, concluded at Geneva on 11 October 1933, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",12 Nov 1947
Traffic in Persons,Sweden,,"International Convention for the Suppression of the Traffic in Women of Full Age, concluded at Geneva on 11 October 1933, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",9 Jun 1948
Traffic in Persons,Turkey,,"International Convention for the Suppression of the Traffic in Women of Full Age, concluded at Geneva on 11 October 1933, as amended by the Protocol signed at Lake Success, New York, on 12 November 1947.   Lake Success, 12 November 1947",12 Nov 1947
Traffic in Persons,Belarus,21 May 1948 a,"International Convention for the Suppression of the Traffic in Women of Full Age.   Geneva, 11 October 1933",
Traffic in Persons,Benin,4 Apr 1962 d,"International Convention for the Suppression of the Traffic in Women of Full Age.   Geneva, 11 October 1933",
Traffic in Persons,Cameroon,27 Oct 1961 d,"International Convention for the Suppression of the Traffic in Women of Full Age.   Geneva, 11 October 1933",
Traffic in Persons,Central African Republic,4 Sep 1962 d,"International Convention for the Suppression of the Traffic in Women of Full Age.   Geneva, 11 October 1933",
Traffic in Persons,Congo,15 Oct 1962 d,"International Convention for the Suppression of the Traffic in Women of Full Age.   Geneva, 11 October 1933",
Traffic in Persons,Côte d'Ivoire,8 Dec 1961 d,"International Convention for the Suppression of the Traffic in Women of Full Age.   Geneva, 11 October 1933",
Traffic in Persons,Czech Republic,30 Dec 1993 d,"International Convention for the Suppression of the Traffic in Women of Full Age.   Geneva, 11 October 1933",
Traffic in Persons,France,8 Jan 1947,"International Convention for the Suppression of the Traffic in Women of Full Age.   Geneva, 11 October 1933",
Traffic in Persons,Niger,25 Aug 1961 d,"International Convention for the Suppression of the Traffic in Women of Full Age.   Geneva, 11 October 1933",
Traffic in Persons,Russian Federation,18 Dec 1947 a,"International Convention for the Suppression of the Traffic in Women of Full Age.   Geneva, 11 October 1933",
Traffic in Persons,Senegal,2 May 1963 d,"International Convention for the Suppression of the Traffic in Women of Full Age.   Geneva, 11 October 1933",
Traffic in Persons,Slovakia,28 May 1993 d,"International Convention for the Suppression of the Traffic in Women of Full Age.   Geneva, 11 October 1933",
Traffic in Persons,Australia,,"Protocol amending the International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, and the International Convention for the Suppression of the White Slave Traffic, signed at Paris on 4 May 1910.   Lake Success, New York, 4 May 1949",8 Dec 1949 s
Traffic in Persons,Austria,,"Protocol amending the International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, and the International Convention for the Suppression of the White Slave Traffic, signed at Paris on 4 May 1910.   Lake Success, New York, 4 May 1949",7 Jun 1950 s
Traffic in Persons,Bahamas,,"Protocol amending the International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, and the International Convention for the Suppression of the White Slave Traffic, signed at Paris on 4 May 1910.   Lake Success, New York, 4 May 1949",10 Jun 1976 d
Traffic in Persons,Belgium,,"Protocol amending the International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, and the International Convention for the Suppression of the White Slave Traffic, signed at Paris on 4 May 1910.   Lake Success, New York, 4 May 1949",13 Oct 1952 A
Traffic in Persons,Brazil,,"Protocol amending the International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, and the International Convention for the Suppression of the White Slave Traffic, signed at Paris on 4 May 1910.   Lake Success, New York, 4 May 1949",
Traffic in Persons,Canada,,"Protocol amending the International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, and the International Convention for the Suppression of the White Slave Traffic, signed at Paris on 4 May 1910.   Lake Success, New York, 4 May 1949",4 May 1949 s
Traffic in Persons,Chile,,"Protocol amending the International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, and the International Convention for the Suppression of the White Slave Traffic, signed at Paris on 4 May 1910.   Lake Success, New York, 4 May 1949",20 Jun 1949 s
Traffic in Persons,China,,"Protocol amending the International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, and the International Convention for the Suppression of the White Slave Traffic, signed at Paris on 4 May 1910.   Lake Success, New York, 4 May 1949",4 May 1949 s
Traffic in Persons,Cuba,,"Protocol amending the International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, and the International Convention for the Suppression of the White Slave Traffic, signed at Paris on 4 May 1910.   Lake Success, New York, 4 May 1949",4 Aug 1965 A
Traffic in Persons,Czech Republic,,"Protocol amending the International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, and the International Convention for the Suppression of the White Slave Traffic, signed at Paris on 4 May 1910.   Lake Success, New York, 4 May 1949",30 Dec 1993 d
Traffic in Persons,Denmark,,"Protocol amending the International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, and the International Convention for the Suppression of the White Slave Traffic, signed at Paris on 4 May 1910.   Lake Success, New York, 4 May 1949",1 Mar 1950 A
Traffic in Persons,Egypt,,"Protocol amending the International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, and the International Convention for the Suppression of the White Slave Traffic, signed at Paris on 4 May 1910.   Lake Success, New York, 4 May 1949",16 Sep 1949 A
Traffic in Persons,Fiji,,"Protocol amending the International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, and the International Convention for the Suppression of the White Slave Traffic, signed at Paris on 4 May 1910.   Lake Success, New York, 4 May 1949",12 Jun 1972 d
Traffic in Persons,Finland,,"Protocol amending the International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, and the International Convention for the Suppression of the White Slave Traffic, signed at Paris on 4 May 1910.   Lake Success, New York, 4 May 1949",31 Oct 1949 A
Traffic in Persons,France,,"Protocol amending the International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, and the International Convention for the Suppression of the White Slave Traffic, signed at Paris on 4 May 1910.   Lake Success, New York, 4 May 1949",5 May 1949 s
Traffic in Persons,Germany,,"Protocol amending the International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, and the International Convention for the Suppression of the White Slave Traffic, signed at Paris on 4 May 1910.   Lake Success, New York, 4 May 1949",29 May 1973 A
Traffic in Persons,India,,"Protocol amending the International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, and the International Convention for the Suppression of the White Slave Traffic, signed at Paris on 4 May 1910.   Lake Success, New York, 4 May 1949",28 Dec 1949 A
Traffic in Persons,Iran (Islamic Republic of),,"Protocol amending the International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, and the International Convention for the Suppression of the White Slave Traffic, signed at Paris on 4 May 1910.   Lake Success, New York, 4 May 1949",30 Dec 1959 A
Traffic in Persons,Iraq,,"Protocol amending the International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, and the International Convention for the Suppression of the White Slave Traffic, signed at Paris on 4 May 1910.   Lake Success, New York, 4 May 1949",1 Jun 1949 s
Traffic in Persons,Ireland,,"Protocol amending the International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, and the International Convention for the Suppression of the White Slave Traffic, signed at Paris on 4 May 1910.   Lake Success, New York, 4 May 1949",19 Jul 1961 A
Traffic in Persons,Italy,,"Protocol amending the International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, and the International Convention for the Suppression of the White Slave Traffic, signed at Paris on 4 May 1910.   Lake Success, New York, 4 May 1949",13 Nov 1952 A
Traffic in Persons,Luxembourg,,"Protocol amending the International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, and the International Convention for the Suppression of the White Slave Traffic, signed at Paris on 4 May 1910.   Lake Success, New York, 4 May 1949",14 Mar 1955 A
Traffic in Persons,Netherlands,,"Protocol amending the International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, and the International Convention for the Suppression of the White Slave Traffic, signed at Paris on 4 May 1910.   Lake Success, New York, 4 May 1949",26 Sep 1950 A
Traffic in Persons,Norway,,"Protocol amending the International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, and the International Convention for the Suppression of the White Slave Traffic, signed at Paris on 4 May 1910.   Lake Success, New York, 4 May 1949",4 May 1949 s
Traffic in Persons,Pakistan,,"Protocol amending the International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, and the International Convention for the Suppression of the White Slave Traffic, signed at Paris on 4 May 1910.   Lake Success, New York, 4 May 1949",16 Jun 1952 A
Traffic in Persons,Serbia,,"Protocol amending the International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, and the International Convention for the Suppression of the White Slave Traffic, signed at Paris on 4 May 1910.   Lake Success, New York, 4 May 1949",12 Mar 2001 d
Traffic in Persons,Slovakia,,"Protocol amending the International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, and the International Convention for the Suppression of the White Slave Traffic, signed at Paris on 4 May 1910.   Lake Success, New York, 4 May 1949",28 May 1993 d
Traffic in Persons,South Africa,,"Protocol amending the International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, and the International Convention for the Suppression of the White Slave Traffic, signed at Paris on 4 May 1910.   Lake Success, New York, 4 May 1949",14 Aug 1951 A
